ID,POLICYNO,BIRTH,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,NPOLICY,URBANICITY,AGE_BAND,CREDIT_SCORE_BAND,KIDSDRIV,INITDATE,PLCYDATE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CLM_DATE,CLAIM_FLAG,STATE,TRAVTIME,CAR_USE,BLUEBOOK,CAR_TYPE,RED_CAR,CAR_AGE,TIF,OCCUPATION,PLCYYEAR,CLM_EXPOSURE,LN_CLM_EXPOSURE,CUST_LOYALTY,BLUEBOOK_1000
293412653,1999647,08NOV66,0,12,"$47,660",No,"$180,206",Yes,M,Masters,1,Highly Urban/ Urban,36 - 50,660 - 749,0,16FEB94,14FEB01,$974,2,No,6,$0,,0,WI,31,Private,"$11,940",Pickup,yes,18,106,Professional,2001,1,0,6.9945205479,11.94
930929206,2365874,24JUL54,0,15,"$107,808",No,"$278,940",Yes,F,Bachelors,1,Highly Urban/ Urban,51 - 65,620 - 659,0,04APR94,03APR01,"$1,780",3,No,0,$0,,0,IL,45,Commercial,"$27,020",Pickup,no,6,104,Manager,2001,1,0,6.997260274,27.02
82438997,2643104,14DEC62,2,12,"$62,447",Yes,"$203,472",No,M,High School,3,Highly Urban/ Urban,51 - 65,750 +,0,25APR94,13MAY01,$0,0,No,0,$0,,0,IL,39,Commercial,"$12,240",Minivan,yes,1,103,Blue Collar,2001,1,0,7.0493150685,12.24
968152368,2664505,22OCT59,0,0,$0,No,$0,No,F,High School,1,Highly Rural/ Rural,51 - 65,620 - 659,0,23JAN94,21JAN01,$0,0,No,1,$0,,0,IL,55,Private,"$19,810",Minivan,no,1,107,Home Maker,2001,1,0,6.9945205479,19.81
180019907,3182778,03NOV79,1,11,"$51,122",No,"$201,650",Yes,F,Bachelors,1,Highly Urban/ Urban,26 - 35,660 - 749,0,26FEB01,26FEB01,"$19,030",3,Yes,9,$0,,0,MI,40,Commercial,"$10,470",SUV,no,9,106,Blue Collar,2001,1,0,0,10.47
510001503,3190144,02MAY51,0,12,,No,$0,No,F,High School,3,Highly Urban/ Urban,51 - 65,660 - 749,0,13APR97,12APR01,"$10,231",1,No,0,$680,30AUG01,1,IL,19,Private,"$11,650",SUV,no,1,104,Clerical,2001,0.3835616438,-0.958254931,3.997260274,11.65
993909059,3487166,15DEC65,0,12,"$85,752",No,"$285,727",Yes,M,Masters,1,Highly Urban/ Urban,36 - 50,660 - 749,0,18APR88,15APR01,$0,0,No,2,$0,,0,MI,36,Commercial,"$5,700",Pickup,no,19,104,,2001,1,0,12.98984954,5.7
180434966,3775897,16FEB67,2,10,"$32,057",No,"$166,326",Yes,F,High School,2,Highly Rural/ Rural,36 - 50,660 - 749,1,14APR91,08APR01,$0,0,No,0,$0,,0,IL,20,Private,"$9,800",SUV,no,1,104,Clerical,2001,1,0,9.9835616438,9.8
332762693,4000902,28AUG82,1,0,$0,No,$0,Yes,F,Bachelors,1,Highly Urban/ Urban,26 - 35,450 - 619,0,06FEB01,06FEB01,"$11,279",3,No,5,"$4,524",23FEB01,1,WI,10,Commercial,"$4,100",Sports Car,no,6,106,Student,2001,0.0465753425,-3.06668401,0,4.1
533779817,4072138,06SEP63,0,12,"$107,327",No,"$316,035",No,F,Bachelors,2,Highly Urban/ Urban,51 - 65,620 - 659,0,14DEC00,01JAN01,$0,0,No,2,$0,,0,IL,38,Private,"$18,540",SUV,no,9,107,Professional,2001,1,0,0.0491803279,18.54
569373348,4113309,17MAY65,2,11,"$24,124",No,"$157,794",Yes,F,<High School,2,Highly Rural/ Rural,36 - 50,450 - 619,1,26DEC93,22JAN01,$0,0,No,0,$0,,0,MI,40,Private,"$8,140",SUV,no,1,107,Blue Collar,2001,1,0,7.0739726027,8.14
777916931,4126333,04JUL55,0,12,"$106,830",No,$0,No,M,Bachelors,1,Highly Urban/ Urban,51 - 65,660 - 749,0,02FEB88,30JAN01,$0,0,No,0,$0,,0,MI,28,Private,"$17,480",Minivan,yes,7,107,Manager,2001,1,0,12.992020361,17.48
457758097,4231484,22AUG67,0,14,"$99,959",No,"$268,154",No,F,Masters,1,Highly Urban/ Urban,36 - 50,660 - 749,0,22FEB95,21FEB01,$0,0,No,1,"$1,237",07NOV01,1,IL,13,Private,"$18,850",Minivan,no,11,106,Lawyer,2001,0.7095890411,-0.343069292,5.997260274,18.85
976339643,4241936,15JUL51,0,10,"$33,707",No,$0,No,F,<High School,2,Highly Rural/ Rural,51 - 65,660 - 749,0,06APR89,02APR01,$0,0,No,0,$0,,0,IN,40,Commercial,"$27,520",Pickup,no,1,104,Blue Collar,2001,1,0,11.989041096,27.52
428531409,4360092,17OCT73,0,0,$0,No,$0,Yes,F,<High School,1,Highly Urban/ Urban,36 - 50,750 +,0,08JAN91,06JAN01,$0,0,No,0,$0,,0,IL,17,Private,"$5,000",Sports Car,no,1,107,Student,2001,1,0,9.9945205479,5
349289375,4424423,25JUL59,0,8,"$37,356",No,"$133,175",Yes,M,High School,1,Highly Urban/ Urban,51 - 65,450 - 619,0,01MAR01,01MAR01,"$7,993",1,No,7,"$3,943",30JUN01,1,OH,63,Commercial,"$6,400",Pickup,yes,6,105,Blue Collar,2001,0.3315068493,-1.104106808,0,6.4
220536762,4433107,07SEP66,0,13,"$28,341",No,"$124,838",Yes,M,<High School,1,Highly Urban/ Urban,36 - 50,660 - 749,0,08MAY97,07MAY01,"$3,710",3,No,7,"$2,316",10NOV01,1,IN,45,Commercial,"$8,530",Pickup,yes,1,103,Clerical,2001,0.5123287671,-0.668788737,3.997260274,8.53
789161168,4671926,11JAN72,0,11,"$48,710",No,$0,No,F,<High School,1,Highly Rural/ Rural,36 - 50,660 - 749,0,04FEB91,02FEB01,"$18,331",1,No,4,$0,,0,IN,59,Private,"$9,970",SUV,no,5,106,Clerical,2001,1,0,9.9945205479,9.97
86637420,4847645,01MAR63,3,12,"$13,891",No,"$64,530",Yes,F,<High School,1,Highly Urban/ Urban,51 - 65,750 +,0,08FEB01,08FEB01,"$1,546",2,No,4,"$5,252",27APR01,1,IL,47,Private,"$7,390",SUV,no,8,106,Clerical,2001,0.2136986301,-1.543188527,0,7.39
866499831,4950925,06MAR67,0,6,"$86,227",No,"$237,057",No,M,Masters,3,Highly Urban/ Urban,36 - 50,450 - 619,0,21FEB92,17FEB01,"$2,948",3,No,2,"$2,289",20APR01,1,IN,28,Commercial,"$19,530",Van,no,17,106,,2001,0.1698630137,-1.772762969,8.989422861,19.53
386689370,4985328,15JUL69,3,17,"$173,533",No,"$445,428",Yes,M,Masters,1,Highly Urban/ Urban,36 - 50,660 - 749,2,03JAN91,01JAN01,$0,0,Yes,1,$0,,0,MI,36,Commercial,"$25,210",Panel Truck,yes,12,107,,2001,1,0,9.9945205479,25.21
767746253,5026364,22APR64,2,9,"$65,134",No,"$241,443",Yes,M,Bachelors,2,Highly Rural/ Rural,36 - 50,660 - 749,2,17APR95,02APR01,$0,0,No,0,$0,,0,IL,15,Commercial,"$12,410",Minivan,no,,104,Blue Collar,2001,1,0,5.9589041096,12.41
249645278,5211839,03MAY67,3,11,,No,"$159,061",Yes,F,High School,1,Highly Urban/ Urban,36 - 50,660 - 749,0,07APR95,06APR01,$0,0,No,0,"$5,050",12JUL01,1,MI,35,Private,"$9,170",SUV,no,8,104,Professional,2001,0.2657534247,-1.325186375,5.997260274,9.17
730524072,5356207,20APR56,0,12,"$70,293",No,"$271,091",Yes,F,Bachelors,1,Highly Urban/ Urban,51 - 65,660 - 749,0,13FEB94,11FEB01,$0,0,No,0,$0,,0,IL,34,Private,"$33,440",Pickup,no,6,106,Professional,2001,1,0,6.9945205479,33.44
271284833,5370947,30AUG65,0,13,"$22,623",No,"$184,773",Yes,M,High School,1,Highly Urban/ Urban,36 - 50,750 +,0,23MAR01,23MAR01,$0,0,No,2,"$46,858",23DEC01,1,IL,15,Private,"$8,060",Pickup,yes,1,105,Professional,2001,0.7534246575,-0.283126256,0,8.06
317314544,5388472,02DEC80,2,11,"$68,493",Yes,"$217,494",No,M,Bachelors,1,Highly Urban/ Urban,26 - 35,620 - 659,0,02MAR01,02MAR01,$0,0,No,0,"$1,958",30OCT01,1,MI,22,Commercial,"$20,180",Van,no,5,105,Blue Collar,2001,0.6630136986,-0.410959627,0,20.18
443183800,5710563,12DEC48,0,0,$0,No,"$113,739",Yes,F,Bachelors,1,Highly Rural/ Rural,66 +,660 - 749,0,17JAN91,15JAN01,$0,0,Yes,2,$0,,0,WI,52,Private,"$11,480",SUV,no,12,107,Home Maker,2001,1,0,9.9945205479,11.48
958601721,6351569,19NOV60,0,10,"$114,507",No,$0,No,F,Masters,1,Highly Urban/ Urban,51 - 65,660 - 749,0,14FEB94,12FEB01,$900,1,No,1,$0,,0,IL,27,Private,"$6,200",SUV,no,18,106,Lawyer,2001,1,0,6.9945205479,6.2
590272679,6427624,06MAR81,0,8,,No,$0,No,F,<High School,2,Highly Urban/ Urban,26 - 35,660 - 749,0,03APR01,21APR01,"$4,599",1,No,2,"$2,595",08OCT01,1,MI,35,Commercial,"$24,340",Pickup,no,4,104,Blue Collar,2001,0.4657534247,-0.764098917,0.0493150685,24.34
11634102,6854425,23SEP59,0,2,"$81,280",No,"$241,420",Yes,M,Bachelors,1,Highly Urban/ Urban,51 - 65,620 - 659,0,14MAR01,14MAR01,$0,0,No,0,$0,,0,OH,24,Private,"$14,530",Minivan,no,6,105,Professional,2001,1,0,0,14.53
774052555,6871158,25DEC69,2,13,"$38,317",No,"$125,157",Yes,F,PhD,1,Highly Urban/ Urban,36 - 50,750 +,1,27MAR01,27MAR01,"$2,896",1,No,8,$0,,0,OH,44,Private,"$1,500",Sports Car,no,8,105,Doctor,2001,1,0,0,1.5
247424045,6940007,27MAR66,2,17,"$69,465",No,"$200,108",Yes,M,Bachelors,1,Highly Rural/ Rural,36 - 50,660 - 749,2,18MAR01,18MAR01,$0,0,No,0,$0,,0,MI,35,Commercial,"$15,770",Minivan,yes,6,105,Blue Collar,2001,1,0,0,15.77
329152754,7123869,25JUL70,2,10,"$40,180",No,"$164,346",Yes,F,Masters,1,Highly Rural/ Rural,36 - 50,750 +,0,11MAY01,11MAY01,$0,0,No,0,$0,,0,IL,23,Private,"$3,320",Sports Car,no,2,103,Home Maker,2001,1,0,0,3.32
427138852,7146576,15OCT67,1,0,$0,No,"$132,571",Yes,F,Masters,1,Highly Urban/ Urban,36 - 50,450 - 619,1,14APR85,10APR01,"$4,263",3,No,0,$0,,0,IL,21,Private,"$5,600",Sports Car,no,17,104,Home Maker,2001,1,0,15.989041096,5.6
424786843,7444128,02AUG78,0,10,"$27,803",No,$0,No,F,High School,2,Highly Urban/ Urban,36 - 50,660 - 749,0,24JAN97,11JAN01,"$6,322",2,No,5,$0,,0,WI,41,Private,"$7,280",Minivan,no,8,107,Clerical,2001,1,0,3.9643835616,7.28
897465576,7611057,04MAR57,1,13,"$46,381",No,"$217,179",Yes,F,High School,1,Highly Urban/ Urban,51 - 65,660 - 749,0,12FEB89,09FEB01,$0,0,No,0,$0,,0,IL,18,Private,"$20,130",SUV,no,6,106,Manager,2001,1,0,11.991780822,20.13
321588388,7760175,27OCT72,1,10,"$100,095",Yes,$0,No,F,Masters,1,Highly Urban/ Urban,36 - 50,450 - 619,0,09APR01,09APR01,$0,0,No,0,$0,,0,OH,15,Private,"$17,520",SUV,no,19,104,Lawyer,2001,1,0,0,17.52
307042838,7942433,03AUG71,3,15,"$98,655",No,"$272,278",Yes,F,Masters,1,Highly Urban/ Urban,36 - 50,660 - 749,0,09MAY01,09MAY01,$0,0,No,5,$0,,0,OH,15,Private,"$11,370",SUV,no,13,103,Lawyer,2001,1,0,0,11.37
640148036,8329790,06NOV55,0,11,"$27,045",No,"$161,922",Yes,M,Bachelors,2,Highly Urban/ Urban,51 - 65,750 +,0,20FEB95,06MAR01,"$6,523",3,No,4,"$2,439",25AUG01,1,IN,54,Commercial,"$6,800",Pickup,no,7,105,Clerical,2001,0.4712328767,-0.752402877,6.0383561644,6.8
134059959,8348267,12OCT60,0,11,"$75,984",No,$0,No,F,High School,1,Highly Urban/ Urban,51 - 65,750 +,0,14MAY01,14MAY01,"$40,386",3,Yes,1,"$1,062",20JUN01,1,WI,42,Commercial,"$37,310",Sports Car,no,2,103,Blue Collar,2001,0.101369863,-2.288979441,0,37.31
819681380,8456127,03OCT64,0,4,"$64,617",No,$0,No,F,High School,1,Highly Urban/ Urban,36 - 50,660 - 749,0,27FEB97,26FEB01,$0,0,No,0,$0,,0,IL,46,Commercial,"$12,360",SUV,no,1,106,Blue Collar,2001,1,0,3.997260274,12.36
908951082,8687056,30MAY61,0,11,"$93,658",No,"$303,850",Yes,M,Masters,1,Highly Urban/ Urban,51 - 65,620 - 659,0,02MAR96,01MAR01,$0,0,No,0,$0,,0,IL,37,Private,"$6,200",Minivan,no,15,105,Lawyer,2001,1,0,4.9949771689,6.2
773531108,8757384,04JAN66,3,17,"$28,916",No,"$115,937",Yes,F,<High School,1,Highly Urban/ Urban,36 - 50,750 +,2,28APR97,27APR01,$958,1,No,4,"$8,809",24JAN02,1,OH,43,Private,"$8,300",Sports Car,no,7,104,Clerical,2001,0.7452054795,-0.294095287,3.997260274,8.3
281256236,8779071,12MAY76,2,7,,Yes,"$466,804",No,M,PhD,1,Highly Urban/ Urban,36 - 50,620 - 659,0,27JAN91,25JAN01,"$6,042",3,No,0,$0,,0,IL,43,Commercial,"$30,470",Panel Truck,yes,14,107,,2001,1,0,9.9945205479,30.47
183615561,8910657,04OCT59,0,9,"$117,252",No,$0,No,M,Masters,1,Highly Urban/ Urban,51 - 65,660 - 749,0,26JAN90,23JAN01,"$6,494",2,No,0,$0,,0,OH,28,Private,"$18,130",Van,yes,15,107,Lawyer,2001,1,0,10.991780822,18.13
888316246,9007553,16DEC64,1,8,"$23,921",Yes,$0,No,F,High School,1,Highly Urban/ Urban,36 - 50,660 - 749,0,15JAN80,10JAN01,"$3,805",1,No,2,"$4,488",09JUN01,1,IN,25,Private,"$14,070",Sports Car,no,1,107,Clerical,2001,0.4109589041,-0.889262059,20.986406168,14.07
243138203,9064675,10APR62,0,8,"$132,767",No,"$348,409",Yes,M,Masters,1,Highly Urban/ Urban,51 - 65,450 - 619,0,06FEB88,03FEB01,$0,0,No,1,$0,,0,OH,20,Commercial,"$23,910",Panel Truck,yes,9,106,,2001,1,0,12.992050303,23.91
171651788,9181984,06OCT68,0,0,$0,No,$0,No,F,High School,1,Highly Rural/ Rural,36 - 50,750 +,0,10JAN91,08JAN01,$0,0,No,0,$0,,0,IL,48,Commercial,"$8,690",SUV,no,10,107,Student,2001,1,0,9.9945205479,8.69
792318698,9274057,25OCT66,4,15,"$9,950",No,$0,Yes,F,High School,2,Highly Urban/ Urban,36 - 50,620 - 659,1,03MAR90,30MAR01,$0,0,Yes,0,$0,,0,IL,37,Private,"$6,690",SUV,no,1,105,Student,2001,1,0,11.073972603,6.69
603952631,9494489,03APR77,3,12,"$14,064",Yes,$0,No,M,<High School,4,Highly Urban/ Urban,36 - 50,660 - 749,0,13MAR91,28FEB01,"$9,237",2,No,2,$0,,0,MI,24,Private,"$12,470",Minivan,yes,5,106,Clerical,2001,1,0,9.9643835616,12.47
604014833,9576603,28FEB55,0,10,"$185,291",No,"$475,137",Yes,F,PhD,1,Highly Urban/ Urban,51 - 65,660 - 749,0,13JAN84,09JAN01,$0,0,No,3,$0,,0,IL,49,Private,"$22,070",Pickup,no,12,107,Manager,2001,1,0,16.989130923,22.07
834417714,9630690,04MAY60,0,12,"$59,334",No,"$208,034",No,M,Bachelors,1,Highly Urban/ Urban,51 - 65,750 +,0,27MAR98,27MAR01,$0,0,No,3,$0,,0,MI,50,Private,"$12,230",Minivan,yes,11,105,Blue Collar,2001,1,0,3,12.23
535896650,9714944,17NOV78,2,12,"$106,722",Yes,$0,No,F,Bachelors,1,Highly Urban/ Urban,36 - 50,750 +,0,14JAN94,12JAN01,$0,0,No,0,"$3,282",19JUL01,1,OH,43,Private,"$26,520",Sports Car,no,13,107,Manager,2001,0.5150684932,-0.663455391,6.9945205479,26.52
157607694,9787550,30AUG67,2,13,,Yes,$0,No,F,High School,1,Highly Urban/ Urban,36 - 50,660 - 749,0,18APR97,17APR01,"$7,645",2,No,1,"$6,075",24NOV01,1,IL,35,Private,"$11,830",SUV,no,1,104,Clerical,2001,0.6054794521,-0.501734652,3.997260274,11.83
693292141,9803296,25FEB63,0,,"$78,796",No,"$236,707",Yes,M,Masters,1,Highly Urban/ Urban,51 - 65,660 - 749,0,19JAN94,17JAN01,$0,0,No,0,$0,,0,IL,24,Private,"$15,950",Minivan,no,15,107,Lawyer,2001,1,0,6.9945205479,15.95
405093473,9885579,18MAR43,0,0,$0,No,"$110,627",Yes,F,PhD,2,Highly Rural/ Rural,66 +,620 - 659,0,24APR95,19APR01,$0,0,No,0,$0,,0,IL,43,Private,"$16,830",SUV,no,13,104,Home Maker,2001,1,0,5.9863013699,16.83
535150620,9986094,22AUG65,0,12,"$66,101",No,"$247,991",Yes,F,Masters,1,Highly Urban/ Urban,36 - 50,620 - 659,0,09MAY01,09MAY01,$0,0,No,0,"$2,479",31MAY01,1,OH,42,Private,"$12,410",SUV,no,14,103,Lawyer,2001,0.0602739726,-2.8088549,0,12.41
363221604,10129898,12JAN64,0,6,"$84,736",No,"$222,348",Yes,F,Masters,2,Highly Urban/ Urban,36 - 50,450 - 619,0,05MAY90,07JUN01,"$2,772",2,No,3,$0,,0,OH,10,Private,"$7,930",SUV,no,17,102,Lawyer,2001,1,0,11.090410959,7.93
160730761,10542195,25OCT66,1,13,"$49,120",Yes,"$197,752",No,F,Bachelors,2,Highly Urban/ Urban,36 - 50,620 - 659,1,02JAN94,29JAN01,"$1,775",1,No,2,$0,,0,WI,37,Private,"$5,700",SUV,no,9,107,Manager,2001,1,0,7.0739726027,5.7
108491144,10639428,07MAY63,0,,$0,No,$0,No,M,Bachelors,1,Highly Rural/ Rural,51 - 65,660 - 749,0,03FEB01,03FEB01,$0,0,No,3,$0,,0,OH,22,Commercial,"$14,510",Minivan,no,8,106,Student,2001,1,0,0,14.51
910202703,10851606,01APR66,0,11,"$97,054",No,"$282,590",No,M,Masters,1,Highly Urban/ Urban,36 - 50,620 - 659,0,21FEB95,20FEB01,$0,0,Yes,0,$0,,0,MI,40,Private,"$19,580",Van,no,17,106,Lawyer,2001,1,0,5.997260274,19.58
88241450,11052704,26NOV57,0,12,,No,$0,No,F,High School,1,Highly Rural/ Rural,51 - 65,750 +,0,07JAN91,05JAN01,$0,0,No,1,$0,,0,WI,16,Private,"$14,910",SUV,no,12,107,Clerical,2001,1,0,9.9945205479,14.91
815407023,11081713,21MAR72,0,11,"$121,391",No,"$310,275",No,M,Bachelors,1,Highly Urban/ Urban,36 - 50,450 - 619,0,20MAY95,19MAY01,"$2,602",2,No,3,$0,,0,OH,46,Commercial,"$36,420",Panel Truck,yes,8,103,Manager,2001,1,0,5.997260274,36.42
362967186,11434046,23OCT69,1,11,"$32,188",No,"$174,247",Yes,F,High School,1,Highly Urban/ Urban,36 - 50,450 - 619,0,15MAR95,14MAR01,"$5,399",2,No,4,"$3,349",05APR01,1,IL,38,Private,"$8,620",SUV,no,1,105,Professional,2001,0.0602739726,-2.8088549,5.997260274,8.62
160730761,11442518,25OCT66,1,,"$49,120",Yes,"$197,752",No,F,Bachelors,2,Highly Urban/ Urban,36 - 50,660 - 749,1,31DEC00,31JAN01,$0,0,No,0,"$3,244",13OCT01,1,IL,37,Private,"$10,440",SUV,no,9,107,Manager,2001,0.698630137,-0.358633808,0.0849240213,10.44
973319273,11577800,13AUG75,1,13,"$67,171",No,"$131,767",Yes,F,Masters,1,Highly Urban/ Urban,36 - 50,450 - 619,0,10FEB97,09FEB01,$0,0,No,1,$0,,0,OH,17,Private,"$16,780",SUV,no,15,106,Lawyer,2001,1,0,3.997260274,16.78
128821230,11580585,06JUN53,0,0,$0,No,"$96,761",Yes,F,High School,1,Highly Urban/ Urban,51 - 65,750 +,0,08APR01,08APR01,$0,0,No,3,$0,,0,IL,34,Commercial,"$26,890",Pickup,no,10,104,Home Maker,2001,1,0,0,26.89
498874820,11833088,06OCT77,1,6,"$53,633",Yes,"$183,242",No,F,High School,1,Highly Urban/ Urban,36 - 50,660 - 749,0,27APR01,27APR01,"$4,646",2,No,9,$0,,0,MI,46,Private,"$9,960",SUV,no,1,104,Professional,2001,1,0,0,9.96
258417857,11963405,11SEP70,0,12,,No,"$125,191",Yes,M,<High School,2,Highly Rural/ Rural,36 - 50,620 - 659,0,19APR94,04APR01,$0,0,No,0,$0,,0,IN,25,Private,"$9,970",Pickup,yes,1,104,Blue Collar,2001,1,0,6.9589041096,9.97
793707317,12338782,26AUG59,0,12,"$33,303",No,$0,Yes,F,High School,2,Highly Urban/ Urban,51 - 65,750 +,0,09FEB88,03FEB01,$0,0,Yes,3,$0,,0,MI,33,Commercial,"$21,100",Minivan,no,7,106,Student,2001,1,0,12.983853582,21.1
896613125,12396976,16APR69,0,14,"$28,830",No,$0,No,M,<High School,1,Highly Urban/ Urban,36 - 50,750 +,0,31JAN01,31JAN01,$0,0,Yes,5,"$4,754",20MAR01,1,IL,50,Commercial,"$18,930",Van,yes,1,107,Clerical,2001,0.1315068493,-2.028696343,0,18.93
356622491,12409684,09APR47,0,10,"$46,161",No,"$197,331",Yes,M,Bachelors,2,Highly Urban/ Urban,66 +,660 - 749,0,25JAN01,31JAN01,"$25,313",3,Yes,3,"$24,720",19NOV01,1,OH,24,Private,"$12,220",Sports Car,yes,,107,Blue Collar,2001,0.8,-0.223143551,0.0164383562,12.22
505765844,12728427,03MAR77,4,18,"$24,323",No,$0,Yes,F,<High School,1,Highly Urban/ Urban,36 - 50,660 - 749,0,12MAY01,12MAY01,"$3,846",1,No,5,$0,,0,IL,9,Private,"$16,830",Pickup,no,1,103,Student,2001,1,0,0,16.83
793707317,12751803,26AUG59,0,12,"$33,303",No,$0,Yes,F,High School,2,Highly Urban/ Urban,51 - 65,660 - 749,0,07FEB95,01FEB01,"$5,393",2,No,0,$0,,0,IL,33,Commercial,"$19,940",SUV,no,7,106,Student,2001,1,0,5.9835616438,19.94
325267397,12957444,19DEC78,2,8,"$36,324",Yes,$0,No,M,High School,3,Highly Rural/ Rural,36 - 50,750 +,0,22APR95,17APR01,$0,0,No,0,$0,,0,WI,30,Commercial,"$8,030",Pickup,yes,9,104,Blue Collar,2001,1,0,5.9863013699,8.03
922205147,13075501,16AUG78,0,7,"$10,678",No,$0,No,M,<High School,2,Highly Urban/ Urban,36 - 50,620 - 659,0,21APR97,07JUL01,"$7,228",1,No,8,"$3,242",12AUG01,1,IL,22,Commercial,"$11,700",Pickup,yes,7,101,Clerical,2001,0.098630137,-2.316378415,4.2109589041,11.7
250477489,13349997,06FEB63,0,14,"$79,941",No,"$258,068",Yes,F,Masters,2,Highly Urban/ Urban,51 - 65,620 - 659,0,05MAY97,24APR01,"$1,826",3,No,0,$0,,0,IL,35,Private,"$20,720",Pickup,no,15,104,Lawyer,2001,1,0,3.9698630137,20.72
308799522,13602062,09OCT64,0,11,"$62,346",No,$0,No,M,Masters,1,Highly Urban/ Urban,36 - 50,660 - 749,0,21APR01,21APR01,$0,0,Yes,0,$0,,0,OH,42,Private,"$5,900",Pickup,yes,18,104,Professional,2001,1,0,0,5.9
852625368,13800734,06AUG78,2,12,"$78,213",No,"$245,925",Yes,F,<High School,1,Highly Rural/ Rural,36 - 50,750 +,0,09MAY91,07MAY01,$0,0,No,3,$0,,0,IN,57,Private,"$17,630",SUV,no,,103,Blue Collar,2001,1,0,9.9945205479,17.63
914531962,14160106,12JAN75,3,0,$0,Yes,$0,No,F,<High School,1,Highly Urban/ Urban,36 - 50,660 - 749,0,16MAR01,16MAR01,"$31,379",5,Yes,5,"$3,440",25MAY01,1,OH,34,Private,"$7,810",Sports Car,no,6,105,Home Maker,2001,0.1917808219,-1.651402112,0,7.81
